step,point_forecast,q10,q20,q30,q40,q50,q60,q70,q80,q90
1,411.1016,495.33246,545.37244,586.6101,566.1687,577.1102,570.4377,579.46375,619.96875,656.84924
2,374.60736,500.08795,555.42426,565.1304,563.547,576.25854,575.1412,563.80975,598.82556,623.3021
3,371.6183,570.4803,599.8295,601.22736,610.75134,610.49744,605.8743,607.5833,614.72424,618.65784
4,381.1445,613.25507,612.1389,616.3033,613.2536,613.63086,616.8828,623.2984,652.85144,684.4186
5,389.4333,562.85803,586.6057,591.31104,614.71246,608.13763,613.6304,641.2501,657.0128,693.94226
6,426.31012,571.76807,603.29443,621.0575,647.28296,667.4936,686.5671,679.90985,708.02893,746.89923
7,449.58966,558.0858,615.2794,643.5481,666.7574,661.4025,665.28314,668.7866,715.6992,733.39764
8,455.68985,565.50134,632.6435,654.0882,673.47125,686.1858,706.79944,730.1683,761.9841,766.4395
9,443.4704,625.3312,658.98505,696.62463,708.4929,695.432,726.7021,719.49146,748.83154,775.9654
10,403.3298,611.64557,667.2702,684.2903,686.8612,676.6134,660.4559,668.3838,694.44556,703.5353
11,390.17203,692.3985,702.49084,718.3055,708.0552,708.4219,707.9562,722.6708,753.66705,767.70764
12,342.75772,624.09753,622.73157,652.6241,665.8867,664.7888,655.2972,692.7277,705.2948,728.42444
13,309.2367,662.8904,688.61017,694.90106,687.2372,689.90564,670.88464,683.8239,735.6247,719.46423
14,309.4466,623.03845,661.332,674.72864,683.12463,688.95215,672.4644,690.6073,744.50574,738.50134
15,337.98218,679.06,696.4345,695.95197,692.6176,689.75745,686.41125,693.7428,765.58887,745.9416
16,405.03326,648.47253,663.17456,672.0305,684.98047,686.92957,680.501,699.12024,746.825,751.9901
17,536.1022,667.6321,761.4745,774.128,755.035,752.2974,748.5543,745.37964,771.2355,798.5532
18,641.59503,691.2128,739.46924,743.70795,740.66187,738.1997,725.74457,741.8146,751.64294,762.9972
19,704.4621,699.87714,744.1308,763.4368,796.7142,787.0811,770.17395,770.67566,824.59076,853.8333
20,726.308,693.8775,735.64154,754.1553,742.4187,747.3659,752.073,772.4978,815.70276,853.80835
21,727.68866,672.0713,713.16345,749.6836,746.2944,744.4855,761.26917,783.2896,828.3932,860.75964
22,717.8893,665.7214,712.8907,739.3207,749.5278,751.75824,748.6644,757.4196,805.748,848.25024
23,671.97955,666.6958,702.9602,728.7011,747.64734,753.35095,738.52576,750.95013,790.8572,831.2119
24,606.79724,713.888,737.8698,741.36053,735.30176,742.5155,731.02185,770.9243,816.395,840.8398
25,540.0193,688.27026,728.94635,738.0783,749.80536,725.43695,728.8278,771.94965,832.85016,863.8982
26,532.7667,649.60284,688.35913,715.41156,728.60034,726.0446,724.90906,742.8596,780.1316,803.0123
27,530.18225,709.8102,722.45544,751.49036,745.1834,724.9112,723.85205,743.42303,766.1997,803.1534
28,535.2654,691.5153,705.73804,728.8991,743.3009,716.75726,714.783,749.37866,794.0628,794.31177
29,556.784,625.55066,663.29175,683.91187,706.15027,702.82306,697.45087,715.8967,758.9943,784.1943
30,591.3179,756.90546,756.622,771.57465,770.2202,774.4099,759.14825,761.5997,803.218,815.78076
31,602.4568,690.2882,732.05817,745.6586,749.9572,763.1768,781.61676,807.6809,849.44696,888.37744
32,590.53076,717.2669,729.3525,754.3334,759.2477,771.3142,773.5312,789.4963,831.691,876.7719
33,545.62244,717.6067,741.5912,752.57837,749.953,744.7468,762.3317,776.2632,823.0368,864.7167
34,496.70398,654.0929,694.7389,708.6433,731.0455,726.7308,733.7522,725.76404,784.9395,830.7998
35,490.40836,605.06525,656.157,664.40967,682.2406,696.084,703.1352,735.441,776.3081,842.31854
36,455.09943,667.0261,700.1327,702.15674,713.67664,709.6167,705.0392,732.9491,782.66833,851.52686
37,428.53745,669.2485,706.5203,692.9994,691.25854,668.29407,658.6926,686.7909,751.4668,809.8386
38,454.2383,655.2517,702.3588,697.89136,703.28033,684.6757,691.4385,719.10266,784.53784,826.6967
39,479.55573,694.2382,709.89825,706.0199,707.84564,700.8497,707.78625,726.7457,785.6083,794.43475
40,539.2075,672.968,695.3164,712.3532,737.71985,743.6603,735.33704,750.91455,801.4145,849.808
41,662.38904,700.7275,741.92694,756.148,764.7421,765.7598,766.2301,789.30664,818.58075,859.27106
42,784.24963,752.27545,757.27747,785.42755,795.11176,801.4054,786.9803,811.55884,843.8895,852.74976
43,854.4324,777.37366,801.1439,804.01605,815.6919,802.50696,810.1393,826.3565,843.8752,874.1075
44,880.269,785.82465,819.02673,832.5967,846.9642,859.86926,851.67633,871.38226,920.9602,953.4219
45,884.60736,799.2745,843.1555,862.5368,867.2054,866.93945,860.48096,871.9265,903.84717,944.5762
46,861.97906,763.3652,806.9818,824.40204,842.6314,823.334,805.36566,835.65656,865.5462,888.18024
47,807.5219,725.021,753.7086,793.6735,805.9333,802.85876,818.4481,835.9962,868.724,886.8473
48,746.0214,796.9292,847.9846,852.37067,820.216,812.8163,832.9455,856.4869,894.25507,913.448
49,692.38214,716.05444,771.3126,786.148,776.222,785.5217,779.6495,810.8112,849.45605,898.97253
50,635.9011,675.04956,734.70874,757.0192,756.50195,766.90717,775.2626,810.24,818.2551,828.9965
51,608.6573,725.76794,750.8219,743.9673,751.1173,733.2043,749.1797,767.82056,816.0396,874.7908
52,611.05035,691.0471,741.8773,764.7027,756.082,729.43555,747.2474,775.517,817.81976,826.5725
53,612.1697,753.70764,790.6216,813.28,806.72345,758.4221,780.5389,802.57513,832.7213,858.80035
54,635.81396,716.2178,741.1841,753.9617,752.95984,751.81866,781.08936,818.0202,884.29694,921.0865
55,638.6128,702.4727,745.01074,781.79016,774.08936,767.38556,764.2138,775.6368,837.17993,908.24146
56,631.5688,734.70386,772.835,791.0388,784.9085,772.1783,771.23615,802.81464,853.13666,908.7742
57,603.63245,730.1905,732.2023,741.6591,769.1131,761.00323,765.0211,791.8486,835.91077,873.4408
58,561.12476,684.432,717.4083,721.7478,738.86035,735.629,726.48376,748.02747,790.5394,829.308
59,543.7444,660.7543,708.81836,694.8797,713.98083,714.71625,701.6285,754.5163,807.0973,868.8967
60,506.75742,634.9764,701.0057,732.2789,731.05286,722.0926,746.33264,768.6549,798.2369,832.00244
61,480.46713,655.4436,690.2493,742.8256,737.499,727.5197,735.74677,785.59265,850.6652,905.71405
62,492.20163,581.9365,633.3021,659.69086,674.7017,671.0603,661.54663,688.3146,734.7772,759.5003
63,527.90326,693.9428,747.30286,772.839,781.4633,753.6059,765.52734,787.41345,834.292,856.1694
64,585.65784,650.41907,694.16315,713.7588,726.79626,711.7681,713.0698,730.8484,780.1634,830.77313
65,684.56335,720.0164,753.2861,776.0762,797.18677,783.19434,774.00964,793.0671,821.3208,863.45746
66,796.3457,709.37823,752.487,758.8391,785.181,784.1189,786.8855,795.1549,849.605,859.24536
67,865.21576,745.15533,811.4651,847.74774,848.99493,856.45386,871.3604,884.0879,939.9888,952.43475
68,892.7853,745.89154,786.59937,815.7739,836.92395,840.88165,838.38544,884.132,927.47186,980.3153
69,891.8936,730.0254,822.5803,850.8038,885.05756,887.33344,892.2219,926.6309,966.80865,989.78394
70,872.7652,724.14105,784.13385,804.66907,850.25653,862.34216,866.1463,894.14856,937.1803,939.28723
71,813.2396,737.80927,777.4264,786.5983,808.0504,810.6274,823.92737,857.531,909.8752,942.1023
72,757.69507,746.2298,812.1264,796.72876,794.98456,804.7557,812.1461,841.04266,906.21,903.1373
73,701.58813,687.14166,757.39606,753.7352,758.9545,754.227,754.68646,793.126,846.3398,887.50806
74,663.6117,716.54865,796.3369,798.9067,783.30884,778.1798,775.01215,808.34503,852.20166,858.971
75,638.6082,710.86475,766.2914,756.69885,762.84064,757.17615,741.3137,771.5918,843.0787,869.5117
76,639.1182,733.79395,820.0733,817.04865,803.3319,774.3255,755.8534,772.7195,831.6796,851.0445
77,639.8816,685.8955,753.9607,752.05865,740.85175,734.618,732.0701,740.21783,788.4139,833.83453
78,672.32007,737.30164,813.2901,803.28845,800.9882,788.31116,822.0556,853.882,887.8731,922.19507
79,689.8319,733.30804,761.5557,774.3719,778.546,775.7739,789.0029,819.557,842.5515,873.3333
80,669.77936,732.9302,770.5597,791.36414,801.1026,796.7029,796.9864,809.94135,855.66364,886.52515
81,624.12476,728.1282,758.74286,755.0335,730.1949,727.45593,734.1394,771.9203,800.61255,805.5073
82,572.72424,635.562,694.2613,687.9081,704.046,701.07806,706.4365,762.59,801.8001,812.52094
83,555.09894,650.2528,717.6194,731.24475,756.6161,749.124,761.8036,780.79565,801.14874,820.633
84,492.1092,619.55817,687.8277,694.82837,703.2621,694.60504,707.1505,735.2674,775.23395,820.3256
85,468.54367,679.35974,717.95245,704.9834,684.9558,681.1137,661.7469,693.2911,739.1821,811.3947
86,474.5307,579.8797,635.24536,647.89154,661.8039,673.2336,690.5324,722.28125,773.5967,832.1635
87,514.98553,632.4542,690.5385,703.3765,714.9618,712.5885,731.0548,773.9947,798.98285,861.52386
88,567.0553,714.2839,750.3236,761.0244,785.36896,771.8545,769.33594,780.6478,822.94434,865.1728
89,685.61957,708.4151,748.87897,757.9573,769.9955,801.2371,797.4614,828.95337,887.51025,903.8225
90,798.3985,786.4085,835.93616,854.1012,842.7878,825.66406,844.2353,874.34344,893.61566,952.16516
91,843.3515,788.6356,821.0875,818.88116,815.90045,804.6865,815.23004,823.361,847.5288,879.394
92,876.4275,764.3429,830.1893,815.98926,831.98737,846.7032,878.9479,909.0942,955.166,999.70264
93,872.7186,785.0409,830.4708,842.247,828.92456,838.72644,856.79614,864.19336,897.6756,906.2175
94,854.1204,785.5805,847.5032,842.90027,861.579,856.63544,866.85504,869.5066,905.39496,899.565
95,779.19806,707.157,774.575,787.26843,806.1035,806.5729,822.281,842.83563,871.12354,885.4597
96,712.5521,698.7197,783.7391,796.8769,827.14233,824.875,831.3678,852.8204,895.3273,902.3868
97,638.4531,711.68414,742.47577,740.0219,744.6202,744.4217,752.00305,782.2884,824.4088,824.411
98,612.19135,742.06274,784.60767,784.6733,764.40466,759.29486,756.4114,771.29486,819.2682,801.48724
99,607.09235,728.10144,768.6577,771.9608,763.9015,760.6996,770.1035,788.0764,812.0091,814.22
100,598.73065,788.42206,822.687,797.7041,792.0151,775.43567,770.90186,784.78326,789.072,799.5251
101,615.60266,777.8389,807.4149,805.6458,793.16315,781.4769,783.0314,804.311,813.6295,806.9902
102,639.41156,791.1929,835.6321,833.1239,831.8033,817.0989,823.66174,869.21686,893.7484,891.75903
103,662.1703,699.3217,743.3523,765.3165,782.5528,762.699,764.96893,781.6722,789.9722,791.2146
104,623.86523,793.86365,809.4296,828.0002,855.0827,821.3236,830.7525,855.84424,878.47345,901.5987
105,599.04205,748.4904,768.68286,778.4852,790.5471,793.27997,795.4944,802.03357,839.8512,846.0865
106,559.46814,726.3401,787.001,791.6762,791.2339,775.8836,792.44934,809.7996,869.2333,875.2517
107,522.95544,645.652,699.54047,675.17993,665.39374,644.748,658.0889,706.635,748.5203,823.37244
108,479.7004,681.63025,730.86975,731.6331,736.2952,724.09174,721.341,747.8321,760.06024,749.78174
109,441.2981,667.8673,723.7362,728.9753,729.6767,714.16846,734.5774,780.632,814.7948,833.3171
110,449.94235,630.5967,680.6056,680.1195,676.0815,650.798,667.19385,701.4512,741.63995,806.0812
111,476.9169,638.9839,625.8193,636.91736,634.36847,625.77484,634.557,654.173,692.38824,712.57947
112,545.6676,694.38635,752.5286,756.12195,773.0968,760.9607,764.9709,781.4202,802.2761,818.0805
113,662.48883,690.4592,717.3955,736.8135,744.6919,749.02924,740.39557,760.9872,784.30023,791.3443
114,785.2811,808.6399,825.5356,826.3567,821.72235,789.50397,787.0325,798.21674,835.3386,882.8685
115,848.40405,796.19214,829.6519,829.5931,829.09045,835.99927,832.83636,851.70404,880.10474,958.84064
116,868.1954,736.95105,796.9621,788.41223,775.759,795.93005,788.7806,811.2263,866.21484,883.23004
117,873.5393,782.0627,850.32745,869.6891,867.6189,869.8571,873.3247,918.0551,957.096,973.3853
118,858.9824,817.7523,859.08295,864.2516,869.51917,841.3895,853.5987,865.36896,899.73364,914.1572
119,821.49084,828.8695,865.83484,858.0684,868.09174,865.2514,868.5291,875.8869,897.99384,885.99164
120,759.17236,795.146,856.1262,837.8963,846.61273,862.52325,855.0824,874.5779,907.43243,921.1749
121,702.903,849.5404,863.25726,860.0086,820.5608,827.15137,838.8641,856.08234,877.1987,919.5668
122,667.2825,705.2442,746.8994,748.6195,765.80664,780.66113,780.852,799.5031,876.6551,882.7656
123,638.4192,723.1721,758.6094,779.65643,775.07306,762.6898,744.7117,764.4013,813.7279,841.1691
124,661.2271,796.5091,831.8957,826.47797,819.69617,829.6432,814.90533,833.3622,845.8759,832.5114
125,646.55945,736.5535,793.64777,790.1829,773.3015,759.9112,746.5301,749.9436,761.26355,796.75885
126,685.57324,782.21796,827.30786,812.85785,812.9858,798.46326,789.33386,811.6621,843.8015,875.7713
127,713.9823,815.9596,850.71405,849.63184,839.7158,827.9951,823.92584,834.4294,880.0504,908.4925
128,674.50104,745.6984,782.9772,800.3904,798.03687,767.7742,774.13617,820.5545,825.3438,885.9829
